,stockname,hurst_score
0,JPASSOCIAT,0.2717085827711119
1,GMRINFRA,0.18118499180812264
2,SUZLON,0.24330913174479618
3,IBREALEST,0.19798512956221098
4,RELCAPITAL,0.238793641319306
5,DLF,0.27027196341217247
6,IDFC,0.20627446027545254
7,SOUTHBANK,0.21838323991454425
8,IDFCBANK,0.2416306049883986
9,BANKBARODA,0.2710724761830972
10,MANAPPURAM,0.20836914617009492
11,HINDALCO,0.46122486426967285
12,TATASTEEL,0.4822101342217755
13,JINDALSTEL,0.2917479491603874
14,RCOM,0.3093731376238163
15,HDIL,0.2824763165507373
16,L_TFH,0.14964981493436907
17,NMDC,0.1652727776321845
18,ADANIPOWER,0.30816626589101703
19,HCC,0.4678108652845957
20,ICICIBANK,0.19690569784651693
21,SUNTV,0.32345400292724874
22,RELINFRA,0.4867013224994667
23,PNB,0.2581754487606942
24,JSWSTEEL,0.40323924952142154
25,APOLLOTYRE,0.46164684970325537
26,MOTHERSUMI,0.3701714968189172
27,RECLTD,0.21369554973647412
28,ONGC,0.45348765721299583
29,RPOWER,0.1362149777856225
30,IDEA,0.325078829093659
31,JSWENERGY,0.16160960943954944
32,IFCI,0.4382210364580769
33,DHFL,0.21796403987886934
34,TV18BRDCST,0.27160936216323706
35,CANBK,0.24612743048727923
36,BANKINDIA,0.32679793546470276
37,ORIENTBANK,0.4837213223462599
38,PFC,0.2663765543787643
39,EXIDEIND,0.4592340272318481
40,NCC,0.39328081512479657
41,KTKBANK,0.2538275445426259
42,BHARATFIN,0.20414612791515266
43,M_MFIN,0.2588326972588236
44,GRASIM,0.15876890669418833
45,NATIONALUM,0.2880897466400806
46,AXISBANK,0.18466039756490107
47,UNIONBANK,0.3197073793072429
48,AUROPHARMA,0.4975703097044688
49,INFIBEAM,0.40932779095205807
50,BEL,0.49903792620973564
51,FORTIS,0.25128583144965366
52,ALBK,0.29079257438464856
53,HINDPETRO,0.47429139158751366
54,MRPL,0.46446771364350947
55,TATAPOWER,0.4597681844078361
56,PTC,0.23463126905545129
57,NHPC,0.12136911468151676
58,NTPC,0.13986582092748587
59,IOC,0.23955936822553112
60,BPCL,0.4962479995850944
61,INFY,0.17335956812152606
62,RELIANCE,0.20791848441395397
63,DISHTV,0.2932794985958001
64,JUSTDIAL,0.3038074702355691
65,ITC,0.23395165398949586
66,SYNDIBANK,0.3050226653618596
67,TATAMTRDVR,0.19625680074853968
68,CESC,0.48651268404487297
69,GAIL,0.3536429623658018
70,JISLJALEQS,0.2589769950683641
71,COALINDIA,0.12759283831681068
72,PCJEWELLER,0.3822096538539186
73,ANDHRABANK,0.2913692984876331
74,CGPOWER,0.497990551507149
75,POWERGRID,0.07515035049795915
76,GSFC,0.48741356685593945
77,AMBUJACEM,0.1627407785026066
78,ADANIPORTS,0.17634150142339589
79,SREINFRA,0.49237386948236395
80,EQUITAS,0.18160788462531752
81,IRB,0.17284890480309514
82,DCBBANK,0.21603004610439516
83,YESBANK,0.19694436851063196
84,TVSMOTOR,0.13314906971218357
85,RDEL,0.19030965134043523
86,KOTAKBANK,0.43590820621339904
87,SRTRANSFIN,0.20493767811550953
88,UJJIVAN,0.2805427507780633
89,PETRONET,0.4602399143264312
90,BALRAMCHIN,0.4479823417653613
91,BHARTIARTL,0.14753525147656907
92,HDFCBANK,0.44595932792487264
